word1,word2,word3,word4,group_id,freq1,freq2,freq3,freq4,freq_ratio
doctor,phone,cause,part,1,13350.0,13225.0,13050.0,12942.0,1.0315252665739454
years,place,girl,boy,2,28958.0,28698.0,28298.0,26859.0,1.078148851409211
music,food,fact,street,3,7717.0,7869.0,7423.0,7532.0,1.0600835241815978
baby,shit,house,mother,4,25918.0,23925.0,25883.0,24151.0,1.083301985370951
hotel,table,president,ball,5,5241.0,5365.0,5724.0,5294.0,1.092157985117344
honey,kid,miss,business,6,15257.0,16701.0,15492.0,16350.0,1.0946450809464507
agent,mistake,paper,wedding,7,5209.0,5088.0,5266.0,5169.0,1.0349842767295598
moment,blood,war,rest,8,9526.0,9460.0,8905.0,9099.0,1.0697361033127457
boat,bag,system,control,9,4885.0,4632.0,4664.0,4682.0,1.0546200345423142
brother,year,door,stuff,10,14452.0,14154.0,14863.0,14883.0,1.0515048749470115
family,idea,men,wife,11,18035.0,18287.0,18999.0,17782.0,1.0684399955010686
police,eyes,times,chance,12,11959.0,11272.0,10997.0,12082.0,1.0986632718014004
world,friend,woman,kind,13,23151.0,21297.0,22099.0,21140.0,1.095127719962157
job,son,morning,mom,14,21043.0,20864.0,22336.0,21822.0,1.0705521472392638
future,honor,information,army,15,4361.0,4347.0,4552.0,4363.0,1.0471589602024385
court,floor,message,state,16,5089.0,5099.0,4667.0,4740.0,1.0925648167988
bitch,book,country,news,17,7986.0,8749.0,8228.0,8382.0,1.0955421988479839
choice,birthday,mouth,earth,18,4950.0,4941.0,5292.0,5058.0,1.0710382513661203
truth,matter,side,dog,19,9787.0,10513.0,10173.0,9735.0,1.0799178222907035
